Keuwl Accelerometer Data File
2021-04-04 11-07-14

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.4772644,-0.253845,3.761505,5.582916,6.736639,34.030575,93.860756
0.4812927,-0.251450,3.818970,5.585312,6.770781,34.420223,93.767044
0.4853515,-0.265823,3.854874,5.611649,6.813319,34.550236,93.944740
0.4893799,-0.256241,3.893188,5.630814,6.850448,34.718235,93.765648
0.4934387,-0.237091,3.926697,5.640381,6.876704,34.893600,93.455284
0.4974670,-0.217941,3.967407,5.623627,6.885709,35.243217,93.144264
0.5015259,-0.217941,4.024857,5.599686,6.899525,35.747005,93.099472
0.5055542,-0.241882,4.111053,5.539825,6.902821,36.626160,93.367233
0.5096130,-0.272995,4.211609,5.448853,6.892182,37.759827,93.708702
0.5136719,-0.318497,4.348083,5.343506,6.896399,39.210789,94.189430
0.5177002,-0.397507,4.472580,5.250137,6.908395,40.538902,95.078896
0.5217590,-0.478897,4.580322,5.190277,6.938852,41.582378,95.968895
0.5257874,-0.533966,4.690445,5.156754,6.991245,42.472488,96.494659
0.5298461,-0.574677,4.791016,5.144791,7.053577,43.164936,96.839882
0.5338745,-0.591431,4.893967,5.147186,7.127007,43.762863,96.890717
0.5379333,-0.584244,4.994522,5.180695,7.219847,44.146366,96.671959
0.5419617,-0.569885,5.090286,5.240555,7.327974,44.345020,96.387978
0.5460204,-0.555511,5.178864,5.326752,7.450067,44.357311,96.122429
0.5500488,-0.553131,5.262665,5.422516,7.576627,44.300228,96.000031
0.5541076,-0.565094,5.346466,5.527863,7.711115,44.203384,96.033470
0.5581360,-0.579468,5.432648,5.628418,7.844013,44.147987,96.088379
0.5621948,-0.579468,5.528427,5.702637,7.963627,44.267784,95.983665
0.5662231,-0.624954,5.631378,5.764877,8.083118,44.504150,96.332611
0.5702820,-0.629745,5.755875,5.829529,8.216452,44.806183,96.243851
0.5743102,-0.632126,5.877975,5.906143,8.356596,45.027752,96.138077
0.5783691,-0.612976,6.007263,5.999512,8.512174,45.185364,95.826248
0.5823974,-0.589035,6.134155,6.090500,8.664238,45.336079,95.485039
0.5864563,-0.560303,6.251465,6.195847,8.819482,45.370609,95.121590
