Keuwl Accelerometer Data File
2021-04-09 15-36-29

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.2470060,-0.314676,0.884688,0.588716,0.334653,1.403496,20.288643
0.2490073,-0.264396,0.968488,0.598293,0.379742,1.763548,19.596924
0.2510084,-0.233271,1.040316,0.591110,0.405890,2.117384,19.160286
0.2530093,-0.233271,1.040316,0.591110,0.405890,2.117384,19.160286
0.2550106,-0.230877,1.054682,0.586322,0.408387,2.198441,19.118652
0.2570120,-0.242848,1.078624,0.593505,0.426556,2.300013,19.233208
0.2590164,-0.266791,1.088202,0.591110,0.430016,2.362585,19.498215
0.2610177,-0.295522,1.109750,0.600687,0.449976,2.453732,19.803604
0.2630191,-0.305099,1.112144,0.598293,0.449462,2.475964,19.910057
0.2650205,-0.307493,1.128904,0.598293,0.457595,2.557400,19.918686
0.2670218,-0.317071,1.109750,0.641390,0.486708,2.356888,20.049057
0.2690231,-0.314676,1.092990,0.679698,0.512309,2.175709,20.040840
0.2710214,-0.288339,1.011585,0.813778,0.591391,1.431580,19.829231
0.2730168,-0.285945,0.985248,0.868846,0.628007,1.167025,19.830818
0.2750181,-0.290734,0.946939,0.926309,0.661867,0.844637,19.930573
0.2770201,-0.259608,0.875111,1.031657,0.722404,0.233047,19.642410
0.2790214,-0.228482,0.817648,1.132216,0.786142,-0.291340,19.329857
0.2810244,-0.216511,0.738637,1.208833,0.820682,-0.849537,19.267281
0.2830258,-0.216511,0.714694,1.230382,0.829974,-1.012709,19.292862
0.2850271,-0.178203,0.671597,1.225593,0.806073,-1.223482,18.859909
0.2870280,-0.159048,0.657232,1.213622,0.788552,-1.272732,18.633354
0.2890298,-0.132711,0.626106,1.146582,0.713871,-1.281260,18.329277
0.2910314,-0.103980,0.594981,1.036446,0.600117,-1.191631,17.990158
0.2930327,-0.082432,0.573432,0.981377,0.540561,-1.177389,17.731163
0.2950341,-0.039335,0.568644,0.832932,0.403212,-0.866230,17.180481
0.2970355,-0.020180,0.556673,0.674910,0.255056,-0.552504,16.940941
0.2990369,-0.010603,0.542307,0.588716,0.170998,-0.416918,16.825348
